   5,  5.5,   8,    25,   20,   16,   15, 1000, 100, 1000, 100, 1000,  100,    5,   2,    7,   5,    6,    4, 1000, 100, 1000, 100;
   7,  1.5,   6,  1000,  100,    8,    2,   10,   3,   10,   3, 1000,  100,    4,   1, 1000, 100, 1000,  100,   10,   2, 1000, 100;
 7.5,    3,   7,  1000,  100,   10,    5,    9,   2,    9,   2, 1000,  100,    3,   1, 1000, 100, 1000,  100,    9,   3, 1000, 100;
 8.5,  1.5,   4,  1000,  100,    9,    3,   11,   4,   11,   4, 1000,  100,    4,   2, 1000, 100, 1000,  100,   10,   2, 1000, 100;
   9,  3.5,   3,  1000,  100,    7,    8,   15,   5, 1000, 100,    9,    7,    3,   2,    6,   5,    5,    4,    8,   5,    2,   1;
   9,  5.5,   8,  1000,  100,   15,    5, 1000, 100, 1000, 100, 1000,  100, 1000, 100, 1000, 100, 1000,  100, 1000, 100,    3,   1;
  10,  5.5,   7,    22,   20, 1000,  100, 1000, 100, 1000, 100,   12,    5, 1000, 100,    8,   3,    7,    4, 1000, 100, 1000, 100; 
  11,  4.5,   8,    30,   15,   20,    8,   15,   8,   16,   7, 1000,  100,    5,   3,    7,   4, 1000,  100, 1000, 100,    4,   1;
  12,    0,   4,  1000,  100,   11,    4,   12,   5,   12,   4, 1000,  100,    3,   2, 1000, 100, 1000,  100,    9,   4, 1000, 100; 
  13,    4,   2,  1000,  100, 1000,  100,    8,   6,   10,   7, 1000,  100,    4,   3, 1000, 100,    8,    5,    9,   8,    3,   1; 
